Date,Configuration,Customer Postcode,Store Postcode,Retail Price
01Jan2008 00:01:19,163,EC4V,SE1,455
01Jan2008 00:02:52,320,SW4,SW12,545
01Jan2008 00:04:18,23,EC3V,E2,515
01Jan2008 00:04:40,169,SW1P,SE1,395
01Jan2008 00:06:04,365,EC4V,SW1V,585
01Jan2008 00:12:26,309,W1B,SW1V,555
01Jan2008 00:14:32,75,SE25,SE8,465
01Jan2008 00:17:13,346,N7,E2,450
01Jan2008 00:24:08,70,W3,SW18,455
01Jan2008 00:56:50,351,SW8,SW1V,620
01Jan2008 01:00:49,209,SE26,CR7,465
01Jan2008 01:03:25,359,W1T,NW5,665
01Jan2008 01:05:10,300,TW9,W4,440
01Jan2008 01:07:08,363,N1,SW1V,565
01Jan2008 01:15:42,22,N1,E2,405
01Jan2008 01:18:44,53,E14,SE8,480
01Jan2008 01:29:40,310,WC1X,SW1P,505
01Jan2008 01:30:52,314,N1,SE1,425
01Jan2008 01:32:30,320,WC2E,SE1,545
01Jan2008 01:32:55,299,SE1,SW1P,490
01Jan2008 01:40:35,205,EC3N,SE1,480
01Jan2008 01:42:26,216,E6,E2,535
01Jan2008 01:42:54,203,W1T,NW5,460
01Jan2008 01:53:15,209,SE26,CR7,465
01Jan2008 02:00:08,368,EC1R,NW5,595
01Jan2008 02:00:21,293,E6,SE8,530
01Jan2008 02:22:09,352,E2,SE8,570
01Jan2008 02:26:52,215,SE10,SE1,585
01Jan2008 02:29:54,347,SE1,SW1P,540
01Jan2008 02:31:09,340,W1H,SW1P,510
01Jan2008 02:43:53,151,EC4V,SW1V,510
01Jan2008 02:59:47,344,E17,E2,590
01Jan2008 03:20:20,337,W1T,NW5,520
01Jan2008 03:23:20,293,E14,E2,530
01Jan2008 03:24:22,213,SE1,SW1P,525
01Jan2008 03:29:29,200,W1D,SW1V,510
01Jan2008 03:47:57,152,E6,E7,460
01Jan2008 03:58:48,197,NW6,NW5,500
01Jan2008 04:05:31,9,WC1H,SW1V,350
01Jan2008 04:07:51,217,SE25,CR7,445
01Jan2008 04:15:25,163,WC1N,SW1P,455
01Jan2008 04:16:17,19,SW1V,SW1P,435
01Jan2008 04:25:15,340,NW1,NW5,510
01Jan2008 04:25:40,16,SW1X,SW1V,420
01Jan2008 04:52:43,80,W1D,NW5,495
01Jan2008 04:53:59,320,W1P,SW1P,545
01Jan2008 05:15:28,215,TW9,SW18,585
01Jan2008 05:26:44,167,KT6,SW18,535
01Jan2008 05:28:00,291,NW1,NW5,510
01Jan2008 05:32:28,218,SW4,SW1V,395
01Jan2008 05:38:22,345,W1T,SW1V,500
01Jan2008 05:43:37,311,W1D,NW5,615
01Jan2008 05:46:42,175,SE1,SW1P,515
01Jan2008 05:47:49,1,E1,E2,370
01Jan2008 05:58:14,222,SW16,SW18,455
01Jan2008 06:00:00,199,SW19,CR7,560
01Jan2008 06:08:29,7,W1T,SW1P,490
01Jan2008 06:22:30,301,W1P,SW1P,510
01Jan2008 06:24:30,159,N1,NW5,490
01Jan2008 06:24:37,317,E13,E7,535
01Jan2008 06:31:49,2,EC1R,NW5,320
01Jan2008 06:45:51,213,SW7,SW1V,525
01Jan2008 06:49:02,163,NW5,N3,455
01Jan2008 06:56:39,357,SW7,SW1V,605
01Jan2008 06:56:49,289,W1B,SW1P,470
01Jan2008 07:02:48,213,SE1,E2,525
01Jan2008 07:04:29,51,W1F,SW1V,460
01Jan2008 07:06:40,339,EC4R,E2,560
01Jan2008 07:14:10,23,WC2R,SW1V,515
01Jan2008 07:19:05,176,NW6,W10,465
01Jan2008 07:26:28,354,SE10,SE8,495
01Jan2008 07:32:37,195,W2,W10,480
01Jan2008 07:49:09,202,WC1N,SW1P,370
01Jan2008 07:52:16,313,EC1Y,SE1,475
01Jan2008 08:11:33,348,N13,N3,490
01Jan2008 08:13:45,311,WC2R,SW1P,615
01Jan2008 08:21:30,176,W1H,SW1V,465
01Jan2008 08:23:34,57,EC1A,SE1,400
01Jan2008 08:24:45,363,N1,NW5,565
01Jan2008 08:29:35,294,WC2N,SE1,480
01Jan2008 08:30:49,197,W1H,W10,500
01Jan2008 08:32:52,159,WC1N,SW1V,490
01Jan2008 08:38:18,302,SE1,SE1,460
01Jan2008 08:40:23,306,EC2A,E2,445
01Jan2008 08:45:58,14,SW4,SW12,360
01Jan2008 08:50:22,167,SE1,SW1V,535
01Jan2008 09:03:10,348,W1P,NW5,490
01Jan2008 09:18:23,292,W1W,SW1V,460
01Jan2008 09:24:15,15,EC1R,SW1P,470
01Jan2008 09:27:38,340,E1,SW1P,510
01Jan2008 09:51:18,337,EC2A,SW1P,520
01Jan2008 09:52:51,296,SW11,SW1V,540
01Jan2008 09:53:57,29,SE1,SW1V,435
01Jan2008 10:03:56,308,SW14,W4,485
01Jan2008 10:06:22,11,W8,SW1V,390
01Jan2008 10:06:33,360,KT1,KT2,615
01Jan2008 10:06:58,68,SE16,SE1,435
01Jan2008 10:30:07,352,W4,W10,570
01Jan2008 10:39:25,310,E1,E2,505
01Jan2008 10:45:01,55,SE1,SW1P,540
01Jan2008 10:55:46,299,SE25,SW12,490
01Jan2008 10:56:53,357,W1W,SW1V,605
01Jan2008 10:57:43,311,W1T,NW5,615
01Jan2008 11:00:01,299,EC4A,SW1V,490
01Jan2008 11:09:52,201,NW1,W10,420
01Jan2008 11:18:10,362,SW1H,SW1P,475
01Jan2008 11:31:08,56,W1W,SW1V,490
01Jan2008 11:33:38,345,SW4,SW1P,500
01Jan2008 11:37:09,315,E15,E2,515
01Jan2008 11:41:47,357,SE16,E2,605
01Jan2008 11:48:58,154,W1T,NW5,320
01Jan2008 11:56:23,18,EC4Y,SW1V,345
01Jan2008 12:18:19,209,SW11,SW1V,465
01Jan2008 12:21:35,290,E1,SE1,420
01Jan2008 12:24:16,70,W1U,SW1P,455
01Jan2008 12:24:18,302,SE5,SW1V,460
01Jan2008 12:24:42,362,SW1X,W10,475
01Jan2008 12:27:37,307,E10,E7,535
01Jan2008 12:29:09,223,EC4Y,SW1V,565
01Jan2008 12:29:19,219,NW1,NW5,485
01Jan2008 12:40:56,347,WC2E,SW1V,540
01Jan2008 12:41:17,79,W1D,SW1P,545
01Jan2008 12:45:11,357,N1,NW5,605
01Jan2008 12:51:48,350,WC2E,SE1,510
01Jan2008 13:08:20,362,SE23,CR7,475
01Jan2008 13:09:23,157,EC1V,NW5,430
01Jan2008 13:32:20,64,NW6,SW1P,470
01Jan2008 13:44:41,176,SE10,SE1,465
01Jan2008 13:54:57,367,W1U,SW1P,645
01Jan2008 14:12:15,319,N1,NW5,595
01Jan2008 14:15:18,320,EC3N,E2,545
01Jan2008 14:20:31,302,NW1,SW1P,460
01Jan2008 14:22:47,203,W1U,SW1V,460
01Jan2008 14:23:18,316,EC4N,E2,465
01Jan2008 14:48:20,315,W1P,SW1V,515
01Jan2008 14:53:57,4,W1G,SW1P,360
01Jan2008 14:58:27,302,WC2B,SW1P,460
01Jan2008 15:02:10,301,NW3,NW5,510
01Jan2008 15:16:23,55,W1X,SW1V,540
01Jan2008 15:28:24,359,W2,SW1P,665
01Jan2008 15:29:13,80,W1W,SW1V,495
01Jan2008 15:32:25,29,SE26,SW12,435
01Jan2008 15:35:02,202,W1T,NW5,370
01Jan2008 15:43:59,213,SE1,SW1V,525
01Jan2008 15:44:14,5,SE14,SE8,430
01Jan2008 15:52:27,292,W1H,SW1V,460
01Jan2008 15:53:24,58,E1W,SE1,350
01Jan2008 15:55:13,310,N1,SW1P,505
01Jan2008 15:59:07,80,SE14,E2,495
01Jan2008 16:03:22,312,N4,E2,565
01Jan2008 16:09:54,80,W1T,NW5,495
01Jan2008 16:14:34,303,SE8,SE1,570
01Jan2008 16:16:58,65,KT2,W4,445
01Jan2008 16:24:54,357,SE26,SW12,605
01Jan2008 16:25:26,358,SE3,SE1,555
01Jan2008 16:29:02,63,SE11,SW1P,520
01Jan2008 16:37:50,199,EC1Y,SE1,560
01Jan2008 16:40:03,169,CR0,SW18,395
01Jan2008 16:42:37,167,SE1,SW1P,535
01Jan2008 16:42:49,302,SE22,SW12,460
01Jan2008 16:48:14,149,W1F,SW1V,450
01Jan2008 16:57:07,316,W1J,SW1P,465
01Jan2008 16:58:54,352,N1,NW5,570
01Jan2008 17:02:32,74,SW19,KT2,375
01Jan2008 17:03:26,175,W11,SW1P,515
01Jan2008 17:05:30,175,EC1V,SE1,515
01Jan2008 17:05:44,24,E1,SW1P,465
01Jan2008 17:06:22,176,EC1V,E2,465
01Jan2008 17:06:36,197,SE19,SE8,500
01Jan2008 17:07:36,349,W1H,SW1P,560
01Jan2008 17:15:34,208,NW1,SW1V,490
01Jan2008 17:16:09,75,SE17,SW1V,465
01Jan2008 17:20:18,348,WC2R,SW1V,490
01Jan2008 17:24:03,80,E1W,SE1,495
01Jan2008 17:25:25,202,E15,E2,370
01Jan2008 17:38:57,196,W1T,NW5,430
01Jan2008 17:45:10,223,SE1,E2,565
01Jan2008 17:46:01,208,W1X,SW1P,490
01Jan2008 17:53:20,176,EC1V,SE1,465
01Jan2008 18:14:40,80,SE6,SE1,495
01Jan2008 18:20:45,308,SE19,SW12,485
01Jan2008 18:46:04,53,W1D,SW1P,480
01Jan2008 19:05:42,163,W9,SW1P,455
01Jan2008 19:08:39,361,W1B,SW1V,525
01Jan2008 19:12:35,349,NW1,NW5,560
01Jan2008 19:14:43,58,W1H,W10,350
01Jan2008 19:32:34,77,EC1M,SW1P,485
01Jan2008 19:33:09,316,NW1,W10,465
01Jan2008 19:34:32,20,EC1R,SW1P,385
01Jan2008 19:36:19,175,E14,SE1,515
01Jan2008 19:43:34,32,EC1M,SW1P,445
01Jan2008 19:48:00,173,EC3M,E2,455
01Jan2008 20:05:14,345,NW1,SW1P,500
01Jan2008 20:10:14,16,SW2,SW1V,420
01Jan2008 20:12:48,67,E17,N17,485
01Jan2008 20:15:38,79,SE1,SW1P,545
01Jan2008 20:31:30,67,W1W,SW1P,485
01Jan2008 20:32:13,310,WC2H,SW1V,505
01Jan2008 20:35:34,367,EC1Y,E2,645
01Jan2008 20:36:17,313,SE22,SE8,475
01Jan2008 20:38:53,78,BR3,SW12,435
01Jan2008 20:41:49,297,SE3,SE8,450
01Jan2008 20:44:58,173,E2,SE1,455
01Jan2008 20:51:47,23,W7,KT2,515
01Jan2008 20:58:11,21,E14,E2,455
01Jan2008 20:58:46,78,SE26,SE8,435
01Jan2008 21:02:23,291,EC4N,E2,510
01Jan2008 21:15:09,302,EC1V,SW1P,460
01Jan2008 21:25:19,345,W1D,SW1P,500
01Jan2008 21:26:48,148,SE1,SW1V,380
01Jan2008 21:30:12,342,N2,NW5,530
01Jan2008 21:47:16,218,N5,E2,395
